userId,categoryId,rating,tags
1,1,9,waterfall|forest|trees|rainbow
1,1,8,lake|reflection|forest|mist
1,1,9,mountain|river|sunrise|autumn
1,1,8,ocean|beach|palms|sunset
1,1,7,desert|dunes|rock|sand
1,2,4,castle|tower|gothic|ruins
1,2,3,bridge|cathedral|modern|windows
1,2,5,skyscraper|glass|daylight|city
1,2,6,industrial|factory|smoke|night
1,2,4,monument|historic|cloudy|landmark
1,3,10,galaxy|nebula|stars|spaceship
1,3,9,phoenix|fire|sky|stars
1,3,10,dragon|wizard|castle|magic
1,3,9,unicorn|magic|forest|castle
1,3,8,elf|sword|ancient|ruins
1,1,7,jungle|waterfall|rock|mist
1,1,8,forest|path|wildlife|autumn
1,1,9,lake|mountains|sunrise|reflection
1,2,3,modern|tower|glass|night
1,2,4,castle|drawbridge|moat|evening
1,2,5,bridge|city|modern|daylight
1,3,10,stars|nebula|galaxy|spaceship
1,3,9,phoenix|magic|ancient|fire
1,3,8,elf|knight|battlefield|castle
1,3,7,wizard|spell|shield|magic
1,1,8,lake|autumn|forest|trees
1,1,9,mountains|reflection|sunrise|mist
1,1,7,ocean|beach|palms|sand
1,1,6,desert|rock|dunes|sun
1,2,5,industrial|factory|smoke|modern
1,2,4,cathedral|gothic|historic|windows
1,2,3,castle|ruins|monument|twilight
1,3,10,nebula|stars|magic|galaxy
1,3,9,phoenix|wizard|fire|castle
1,3,9,dragon|fire|stars|night
1,3,8,unicorn|magic|phoenix|sky
1,1,7,jungle|mist|rainbow|river
1,1,8,forest|wildlife|sunrise|autumn
1,1,9,waterfall|trees|lake|rainbow
1,2,4,bridge|modern|city|gothic
1,2,5,skyscraper|tower|glass|daylight
1,2,6,industrial|smoke|factory|night
1,3,10,galaxy|stars|future|spaceship
1,3,9,magic|phoenix|wizard|castle
1,3,8,elf|sword|knight|ancient
1,1,7,ocean|dunes|sand|beach
1,1,8,desert|rock|forest|wildlife
1,1,9,mountains|lake|mist|sunrise
1,2,5,castle|bridge|tower|modern
1,2,4,cathedral|windows|historic|twilight
1,2,3,ruins|monument|gothic|night
1,3,10,stars|nebula|galaxy|future
1,3,9,phoenix|magic|fire|ancient
1,3,8,wizard|spell|knight|castle
1,1,7,jungle|rainbow|trees|rock
1,1,8,lake|autumn|forest|sunrise
1,1,9,waterfall|mountains|reflection|mist
1,2,4,modern|skyscraper|glass|daylight
1,2,5,cathedral|historic|bridge|windows
1,2,6,industrial|factory|cloudy|night
1,3,10,nebula|galaxy|stars|spaceship
1,3,9,phoenix|wizard|magic|castle
1,3,8,elf|sword|ancient|battlefield
1,1,7,forest|autumn|path|lake
1,1,8,ocean|beach|palms|reflection
1,1,9,lake|mountains|mist|wildlife
1,2,4,bridge|modern|city|twilight
1,2,5,tower|castle|ruins|skyscraper
1,2,6,factory|smoke|industrial|cloudy
1,3,10,stars|magic|future|nebula
1,3,9,phoenix|dragon|wizard|fire
1,3,8,knight|castle|magic|forest
1,1,8,desert|sun|rock|dunes
1,1,9,forest|mist|trees|path
1,1,7,jungle|rainbow|river|rock
1,2,5,castle|tower|modern|historic
1,2,4,cathedral|windows|gothic|ruins
1,2,3,bridge|cloudy|night|monument
1,3,10,nebula|galaxy|future|stars
1,3,9,magic|phoenix|castle|ancient
1,3,8,wizard|sword|knight|battlefield
1,1,8,lake|wildlife|reflection|mist
1,1,9,mountains|sunrise|forest|trees
1,1,7,ocean|dunes|sand|palms
1,2,5,skyscraper|bridge|tower|modern
1,2,4,cathedral|gothic|historic|night
1,2,3,monument|cloudy|ruins|castle
1,3,10,stars|galaxy|spaceship|magic
1,3,9,phoenix|magic|castle|wizard
1,3,8,unicorn|fire|knight|forest
1,1,10,waterfall|forest|trees|rainbow
1,1,6,cheerful|waterfall
1,2,6,colorful|medieval village
